i 640636 399387.87 297070.42
i 425110 317329.0 323536.76
i 901535 603050.3 324805.22
i 682248 491725.62 267265.88
i 717493 257272.93 445772.93
i 850642 818220.76 787714.4
i 988901 739121.68 952604.14
i 539282 133135.0 869465.26
i 237718 795453.6 87675.59
i 519486 251326.63 754505.77
i 206874 191832.39 991276.84
i 934776 992728.89 23360.11
i 593406 897481.01 950404.82
i 443439 577036.69 542516.74
i 664207 279809.15 102429.99
i 373553 741697.05 753931.61
i 360074 395945.54 87463.86
i 3260 327132.01 830232.4
i 936739 673065.34 285557.9
i 475111 640984.92 324616.68
i 648178 1 1
i 950713 1 1
i 558096 1 1
i 498893 1 1
i 182286 1 1
i 166386 1 1
i 371698 1 1
i 973195 1 1
i 294384 1 1
i 242217 1 1
s 648178
s 950713
s 558096
s 498893
s 182286
s 166386
s 371698
s 973195
s 294384
s 242217
