2.7;2.42
5.58;11.38
77.42;1.55
50.06;2.41
4.46;32.77
24.16;7.85
2.57;78.59
28.26;8.65
8.85;29.31
5.49;52.59
98.04;3.1
34.64;9.48
17.42;19.85
14.16;24.68
35.33;12.02
6.89;64.65
5.62;95.41
15.01;36.14
6.08;89.58
13.71;42.01
17.42;39.45
41.18;18.15
23.1;34.93
9.32;91.02
74.5;13.68
73.42;14.4
94.58;11.33
18.18;66.97
32.16;37.89
43.7;28.89
30.52;44.39
99.02;13.88
41.99;33.36
20.26;70.93
33.53;44.47
60.47;25.18
66.36;23.18
39.45;39.4
48.63;32.01
32.71;48.36
27.27;59.14
30.31;55.34
38.99;44.7
19.75;88.46
30.51;60.53
24.69;78.62
32.61;61.39
90.46;22.7
21.75;97.39
71.77;30.19
41.29;54.72
98.51;23.14
81.63;31.02
50.23;50.59
73.26;34.73
84.57;31.21
87.24;32.51
84.47;34.5
45.44;75.63
43.2;82.3
63.46;56.44
49.04;74.88
74.98;50.45
81.54;47.74
42.05;94.75
66.43;65.24
55.38;79.66
69.58;64.7
68.15;67.37
88.57;55.33
95.54;53.75
77.23;68.28
57.71;97.04
63.16;93.65
75.0;78.94
76.28;78.75
69.47;99.39
99.3;71.25
87.2;82.11
79.88;92.13
