0.91;2.31
14.53;2.37
0.7;69.95
1.53;32.05
5.16;28.51
2.25;68.52
12.69;18.52
17.16;14.74
36.95;6.95
34.33;8.31
12.46;26.93
24.11;14.19
53.13;7.3
61.84;6.46
36.12;13.25
14.6;36.23
54.68;10.29
50.32;11.59
57.05;10.75
14.54;48.71
37.98;20.39
44.41;19.97
12.35;77.18
90.27;10.88
31.49;35.28
92.46;12.84
19.24;63.89
85.62;15.0
46.44;29.02
18.31;74.76
23.35;59.59
99.04;14.61
23.98;67.85
97.86;17.76
83.83;20.98
37.86;47.73
19.86;92.18
28.03;66.28
34.76;55.11
65.2;35.56
35.34;65.93
89.78;29.11
82.05;31.97
43.0;62.81
34.88;77.63
29.41;95.2
37.62;75.28
31.59;90.54
46.42;62.62
72.26;42.76
37.99;84.9
71.53;46.64
95.89;34.85
63.19;53.29
98.01;36.23
39.36;90.28
78.17;45.74
48.0;76.46
65.24;57.1
81.82;45.99
62.15;60.71
97.68;39.78
53.09;75.42
45.03;90.41
43.84;96.69
63.61;66.99
57.59;80.32
74.91;69.44
87.05;59.78
73.62;70.73
72.56;76.42
63.6;91.24
71.08;83.57
99.14;62.25
79.04;80.66
69.78;92.53
87.92;80.18
94.0;88.64
98.33;85.54
93.5;94.14
