4.89;3.49
4.04;8.56
39.54;0.91
17.6;4.3
94.41;1.61
4.74;36.82
19.84;9.72
7.44;32.61
4.97;49.56
8.01;30.87
48.12;6.12
31.04;11.12
13.27;27.21
63.58;5.81
6.75;64.57
38.1;14.38
6.88;94.44
97.05;7.14
50.33;13.95
61.05;13.21
58.81;20.35
50.22;24.06
31.93;40.54
27.09;48.88
55.09;24.75
61.33;26.18
56.12;29.16
90.83;18.35
30.14;57.23
36.79;47.11
57.47;31.51
56.33;32.56
29.74;66.95
27.08;74.29
31.05;70.88
96.2;24.09
88.35;28.65
72.01;35.25
97.09;26.72
34.0;76.59
82.39;31.88
46.58;57.99
35.79;75.9
69.82;39.1
60.88;44.87
83.3;33.77
35.83;82.64
94.56;33.49
51.87;65.1
42.91;81.04
36.38;96.73
41.57;84.78
66.77;57.28
98.78;39.07
60.49;63.98
39.34;99.45
53.14;74.0
41.3;95.59
78.07;50.82
44.57;89.46
95.14;42.56
55.59;74.96
62.94;69.68
67.12;68.33
49.0;95.12
80.6;63.96
98.41;53.39
75.77;69.55
56.81;96.98
98.23;58.01
65.02;92.14
74.83;80.71
79.48;76.06
87.83;80.39
74.46;98.21
93.9;78.37
78.39;98.4
89.62;91.83
99.21;86.19
94.34;91.07
